#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   2.11456  1.06210 -0.00266  0.91506  0.015808  0.008268  0.000000     1.912
   2.13171  1.07925 -0.00315  0.92031  0.014435  0.008088  0.000000     1.785
   2.15172  1.09926 -0.00364  0.92657  0.013169  0.007886  0.000000     1.670
   2.17508  1.12261 -0.00411  0.93347  0.012037  0.007677  0.000000     1.568
   2.20233  1.14986 -0.00455  0.94060  0.011049  0.007474  0.000000     1.478
   2.23413  1.18165 -0.00493  0.94761  0.010201  0.007285  0.000000     1.400
   2.27124  1.21876 -0.00521  0.95425  0.009483  0.007116  0.000000     1.333
   2.31454  1.26206 -0.00536  0.96040  0.008878  0.006967  0.000000     1.274
   2.36506  1.31259 -0.00531  0.96598  0.008372  0.006837  0.000000     1.225
   2.42402  1.37155 -0.00500  0.97099  0.007949  0.006724  0.000000     1.182
   2.49282  1.44034 -0.00435  0.97544  0.007600  0.006628  0.000000     1.147
   2.57310  1.52061 -0.00324  0.97936  0.007313  0.006545  0.000000     1.117
   2.66678  1.61428 -0.00157  0.98279  0.007081  0.006474  0.000000     1.094
   2.77609  1.72356  0.00084  0.98575  0.006893  0.006414  0.000000     1.075
   2.90365  1.85108  0.00415  0.98828  0.006744  0.006364  0.000000     1.060
   3.05249  1.99985  0.00858  0.99074  0.006619  0.006316  0.000000     1.048
